city,stores,tweet
BOSTON,27,1
WORCESTER,10,1
BROCKTON,7,1
DORCHESTER,7,1
CAMBRIDGE,6,1
SALEM,6,1
SPRINGFIELD,6,1
FRAMINGHAM,5,1
HAVERHILL,5,1
LOWELL,5,1
PEABODY,5,1
DANVERS,4,1
FALL RIVER,4,1
HYANNIS,4,1
LEOMINSTER,4,1
LYNN,4,1
MEDFORD,4,1
NEW BEDFORD,4,1
TAUNTON,4,1
WATERTOWN,4,1
WELLESLEY,4,1
BROOKLINE,3,1
CHICOPEE,3,1
DEDHAM,3,1
HOLYOKE,3,1
MALDEN,3,1
NEWTON,3,1
SOMERVILLE,3,1
WALTHAM,3,1
WEYMOUTH,3,1
AMHERST,2,1
GLOUCESTER,2,1
KINGSTON,2,1
BURLINGTON,2,1
FOXBOROUGH,2,1
LAWRENCE,2,1
QUINCY,2,1
REVERE,2,1
CHATHAM,1,1
GREAT BARRINGTON,1,1
GREENFIELD,1,1
LANESBOROUGH,1,1
PROVINCETOWN,1,1
SALISBURY,1,1
STURBRIDGE,1,1
WINCHENDON,1,1
CONCORD,1,1
BRAINTREE,4,0
BRIGHTON,3,0
HINGHAM,3,0
MARLBOROUGH,3,0
METHUEN,3,0
MILFORD,3,0
WEST SPRINGFIELD,3,0
WOBURN,3,0
AGAWAM,2,0
ALLSTON,2,0
ARLINGTON,2,0
ASHLAND,2,0
ATTLEBORO,2,0
BELMONT,2,0
CHELSEA,2,0
CHESTNUT HILL,2,0
EAST BOSTON,2,0
HANOVER,2,0
HOLBROOK,2,0
LONGMEADOW,2,0
MILLBURY,2,0
NEEDHAM,2,0
NORTH ANDOVER,2,0
NORTH ATTLEBOROUGH,2,0
NORTH EASTON,2,0
NORTHAMPTON,2,0
ORLEANS,2,0
PLAINVILLE,2,0
ROSLINDALE,2,0
SANDWICH,2,0
SAUGUS,2,0
SEEKONK,2,0
SOUTH EASTON,2,0
SOUTH WEYMOUTH,2,0
SOUTH YARMOUTH,2,0
STONEHAM,2,0
STOUGHTON,2,0
SWANSEA,2,0
WAREHAM,2,0
WAYLAND,2,0
WESTBOROUGH,2,0
WESTWOOD,2,0
WILMINGTON,2,0
ABINGTON,1,0
BEDFORD,1,0
BELCHERTOWN,1,0
BILLERICA,1,0
BOURNE,1,0
COHASSET,1,0
EAST BRIDGEWATER,1,0
EAST FALMOUTH,1,0
EAST HARWICH,1,0
EVERETT,1,0
GEORGETOWN,1,0
GRANBY,1,0
HADLEY,1,0
HANSON,1,0
HARWICHPORT,1,0
HOLLISTON,1,0
HOPKINTON,1,0
HUDSON,1,0
HYDE PARK,1,0
IPSWICH,1,0
LEXINGTON,1,0
MARBLEHEAD,1,0
MASHPEE,1,0
MAYNARD,1,0
MEDFIELD,1,0
MIDDLEBOROUGH,1,0
MIDDLETON,1,0
MILLIS,1,0
NORTH DARTMOUTH,1,0
NORTH GRAFTON,1,0
NORWELL,1,0
OXFORD,1,0
PALMER,1,0
RANDOLPH,1,0
READING,1,0
ROWLEY,1,0
SHARON,1,0
SOUTH HAMILTON,1,0
SOUTHWICK,1,0
WEST BRIDGEWATER,1,0
WEST NEWTON,1,0
WESTFORD,1,0
WILBRAHAM,1,0
WINCHESTER,1,0
WINTHROP,1,0
WRENTHAM,1,0